STATE GOVERNMENT: EMPLOYMENT AND PAYROLL DATA,,,,,,,,
BY STATE AND BY FUNCTION: MARCH 2020,,,,,,,,
,,,,,,,,
Preliminary Data Released: May 2021,,,,,,,,
,,,,,,,,
,,,,,,,,
"SOURCE: 2020 Annual Survey of Public Employment & Payroll.  For more information, see",,,,,,,,
https://www.census.gov/programs-surveys/apes/technical-documentation.html.  Data users who create,,,,,,,,
their own estimates from these tables should cite the U.S. Census Bureau as the source of the original data only. ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,Total,
,,,Full-Time,,Part-Time,Full-Time,Full-Time,Total
,,Full-Time,Payroll,Part-Time,Payroll,Equivalent,and Part-Time,Payroll
State,Government Function,Employment,(whole dollars),Employment,(whole dollars),Employment,Employment,(whole dollars)
US,Total - All Government Employment Functions,"3,911,804","23,111,905,605","1,596,948","2,532,013,099","4,503,930","5,508,752","25,643,918,704"
US,Financial Administration,"168,706","952,340,990","8,884","17,622,044","174,132","177,590","969,963,034"
US,Other Government Administration,"49,118","281,173,797","8,923","19,833,902","53,530","58,041","301,007,699"
US,Judicial and Legal,"175,173","1,110,276,207","7,703","19,784,495","179,157","182,876","1,130,060,702"
US,Police Protection Total,"105,069","713,451,354","2,389","4,827,476","106,084","107,458","718,278,830"
US,Police Protection - Persons with Power of Arrest,"67,323","524,127,908",338,"689,405","67,445","67,661","524,817,313"
US,Police Protection - Other,"37,746","189,323,446","2,051","4,138,071","38,639","39,797","193,461,517"
US,Fire Protection Total,0,0,0,0,0,0,0
US,Fire Protection - Firefighters,0,0,0,0,0,0,0
US,Fire Protection - Other,0,0,0,0,0,0,0
US,Corrections,"431,748","2,324,393,383","7,944","21,959,521","436,263","439,692","2,346,352,904"
US,Highways,"205,912","1,127,189,945","7,623","20,819,994","210,576","213,535","1,148,009,939"
US,Air Transportation,"3,197","21,460,684",42,"71,095","3,222","3,239","21,531,779"
US,Sea and Inland Port Facilities,"4,803","32,503,220",81,"155,319","4,841","4,884","32,658,539"
US,Public Welfare,"245,590","1,123,050,109","8,612","22,186,512","251,061","254,202","1,145,236,621"
US,Health,"188,067","999,372,767","16,255","45,076,066","196,208","204,322","1,044,448,833"
US,Hospitals,"370,103","2,113,171,656","87,895","403,961,802","420,321","457,998","2,517,133,458"
US,Social Insurance Administration,"60,454","321,114,724","2,312","7,000,871","61,958","62,766","328,115,595"
US,Solid Waste Management,"2,194","13,797,236",122,"310,798","2,265","2,316","14,108,034"
US,Sewerage,"1,654","12,445,279",49,"273,964","1,678","1,703","12,719,243"
US,Parks and Recreation,"30,681","129,628,335","10,700","13,747,822","36,124","41,381","143,376,157"
US,Housing and Community Development,"1,587","10,754,040",95,"313,060","1,605","1,682","11,067,100"
US,Natural Resources,"118,728","633,507,853","22,986","39,975,406","130,295","141,714","673,483,259"
US,Water Supply,718,"4,768,438",15,"34,694",722,733,"4,803,132"
US,Electric Power,"4,166","37,237,713",111,"376,404","4,217","4,277","37,614,117"
US,Gas Supply,0,0,0,0,0,0,0
US,Transit,"38,385","292,541,850","1,908","4,756,474","39,122","40,293","297,298,324"
US,Education Total,"1,531,671","9,870,075,421","1,373,922","1,860,979,437","2,005,317","2,905,593","11,731,054,858"
US,Education - Elementary and Secondary Total,"45,300","257,257,349","16,928","21,523,899","51,542","62,228","278,781,248"
US,Education - Elementary and Secondary Instructional,"34,014","209,558,109","12,798","16,166,577","38,394","46,812","225,724,686"
US,Education - Elementary and Secondary Other,"11,286","47,699,240","4,130","5,357,322","13,148","15,416","53,056,562"
US,Education - Higher Education Total,"1,413,293","9,222,038,863","1,346,659","1,820,262,584","1,876,067","2,759,952","11,042,301,447"
US,Education - Higher Education Instructional,"452,228","4,087,793,335","440,568","900,427,630","618,367","892,796","4,988,220,965"
US,Education - Higher Education Other,"961,065","5,134,245,528","906,091","919,834,954","1,257,700","1,867,156","6,054,080,482"
US,Education - Other,"73,078","390,779,209","10,335","19,192,954","77,708","83,413","409,972,163"
US,Libraries,591,"2,340,960",232,"224,264",686,823,"2,565,224"
US,State liquor stores,"6,888","28,268,974","5,980","7,091,517","9,799","12,868","35,360,491"
US,All other and unallocable,"166,601","957,040,670","22,165","20,630,162","174,747","188,766","977,670,832"
AL,Total - All Government Employment Functions,"82,875","430,776,969","36,029","42,355,285","95,963","118,904","473,132,254"
AL,Financial Administration,"2,068","10,581,141",86,"138,921","2,113","2,154","10,720,062"
AL,Other Government Administration,484,"2,707,739",227,"782,123",610,711,"3,489,862"
AL,Judicial and Legal,"3,015","15,951,411",318,"451,361","3,219","3,333","16,402,772"
AL,Police Protection Total,"1,625","8,748,504",56,"117,459","1,637","1,681","8,865,963"
AL,Police Protection - Persons with Power of Arrest,866,"4,245,024",27,"36,000",866,893,"4,281,024"
AL,Police Protection - Other,759,"4,503,480",29,"81,459",771,788,"4,584,939"
AL,Fire Protection Total,0,0,0,0,0,0,0
AL,Fire Protection - Firefighters,0,0,0,0,0,0,0
AL,Fire Protection - Other,0,0,0,0,0,0,0
AL,Corrections,"4,158","20,306,854",341,"714,708","4,348","4,499","21,021,562"
AL,Highways,"4,332","18,012,924",91,"162,285","4,372","4,423","18,175,209"
AL,Air Transportation,0,0,0,0,0,0,0
AL,Sea and Inland Port Facilities,519,"3,019,621",7,"6,393",520,526,"3,026,014"
AL,Public Welfare,"4,203","16,232,396",97,"384,092","4,250","4,300","16,616,488"
AL,Health,"6,207","26,441,330",491,"1,214,531","6,382","6,698","27,655,861"
AL,Hospitals,"12,485","63,492,445","3,924","7,443,830","14,616","16,409","70,936,275"
AL,Social Insurance Administration,794,"3,351,518",0,0,794,794,"3,351,518"
AL,Solid Waste Management,0,0,0,0,0,0,0
AL,Sewerage,0,0,0,0,0,0,0
AL,Parks and Recreation,345,"990,697",277,"340,715",535,622,"1,331,412"
AL,Housing and Community Development,0,0,0,0,0,0,0
AL,Natural Resources,"1,824","7,956,036",156,"222,997","1,891","1,980","8,179,033"
AL,Water Supply,0,0,0,0,0,0,0
AL,Electric Power,0,0,0,0,0,0,0
AL,Gas Supply,0,0,0,0,0,0,0
AL,Transit,0,0,0,0,0,0,0
AL,Education Total,"38,175","221,383,199","29,636","29,918,408","47,849","67,811","251,301,607"
AL,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
AL,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
AL,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
AL,Education - Higher Education Total,"35,229","208,180,065","29,431","29,645,018","44,810","64,660","237,825,083"
AL,Education - Higher Education Instructional,"11,193","92,303,241","10,661","15,344,319","14,448","21,854","107,647,560"
AL,Education - Higher Education Other,"24,036","115,876,824","18,770","14,300,699","30,362","42,806","130,177,523"
AL,Education - Other,"2,946","13,203,134",205,"273,390","3,039","3,151","13,476,524"
AL,Libraries,0,0,0,0,0,0,0
AL,State liquor stores,876,"2,723,461",19,"47,326",888,895,"2,770,787"
AL,All other and unallocable,"1,765","8,877,693",303,"410,136","1,939","2,068","9,287,829"
AK,Total - All Government Employment Functions,"21,956","139,636,044","4,919","7,814,512","23,740","26,875","147,450,556"
AK,Financial Administration,953,"6,534,306",13,"21,923",958,966,"6,556,229"
AK,Other Government Administration,744,"4,427,870",10,"24,001",748,754,"4,451,871"
AK,Judicial and Legal,"1,643","10,769,354",68,"141,440","1,670","1,711","10,910,794"
AK,Police Protection Total,620,"5,443,973",40,"52,718",630,660,"5,496,691"
AK,Police Protection - Persons with Power of Arrest,335,"3,887,226",2,"13,746",337,337,"3,900,972"
AK,Police Protection - Other,285,"1,556,747",38,"38,972",293,323,"1,595,719"
AK,Fire Protection Total,0,0,0,0,0,0,0
AK,Fire Protection - Firefighters,0,0,0,0,0,0,0
AK,Fire Protection - Other,0,0,0,0,0,0,0
AK,Corrections,"2,086","14,000,871",52,"138,755","2,130","2,138","14,139,626"
AK,Highways,"2,642","17,104,901",16,"27,192","2,650","2,658","17,132,093"
AK,Air Transportation,0,0,0,0,0,0,0
AK,Sea and Inland Port Facilities,0,0,0,0,0,0,0
AK,Public Welfare,"1,662","9,079,413",54,"110,652","1,709","1,716","9,190,065"
AK,Health,693,"4,456,248",9,"26,448",697,702,"4,482,696"
AK,Hospitals,231,"1,365,010",13,"26,181",243,244,"1,391,191"
AK,Social Insurance Administration,245,"1,304,846",0,0,245,245,"1,304,846"
AK,Solid Waste Management,0,0,0,0,0,0,0
AK,Sewerage,0,0,0,0,0,0,0
AK,Parks and Recreation,138,"798,195",10,"5,849",148,148,"804,044"
